site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,90.306565
2,1,FAST,98.165150
2,1,FAST,177.102379
2,1,FAST,164.633578
2,1,FAST,83.782753
2,1,FAST,149.707805
2,1,FAST,121.316815
2,1,FAST,101.944782
2,1,FAST,105.779580
2,1,FAST,100.962499
2,1,FAST,127.577197
2,1,FAST,112.724238
2,1,FAST,151.766149
2,1,FAST,172.962159
2,1,FAST,83.905784
2,1,FAST,165.408086
2,1,FAST,178.033956
2,1,FAST,110.391571
2,1,FAST,138.883561
2,1,FAST,166.442807
2,1,FAST,106.810704
2,1,FAST,159.487327
2,1,FAST,98.138192
2,1,FAST,155.244464
2,1,FAST,83.859837
2,1,FAST,179.119897
2,1,FAST,193.557955
2,1,FAST,162.894365
2,1,FAST,137.211617
2,1,FAST,112.146709
2,1,FAST,95.472622
2,1,FAST,83.922698
2,1,FAST,127.795560
2,1,FAST,101.723658
2,1,FAST,86.230475
2,1,FAST,131.820199
2,1,FAST,157.317361
2,1,FAST,83.974865
2,1,FAST,104.504345
2,1,FAST,99.963834
2,1,FAST,152.765197
2,1,FAST,194.821129
2,1,FAST,107.443399
2,1,FAST,83.838670
2,1,FAST,156.082048
2,1,FAST,139.316495
2,1,FAST,121.804154
2,1,FAST,174.061133
2,1,FAST,185.779085
2,1,FAST,106.630210
2,1,FAST,97.576460
2,1,FAST,131.939054
2,1,FAST,126.399067
2,1,FAST,99.482859
2,1,FAST,160.914839
2,1,FAST,124.018264
2,1,FAST,141.770282
2,1,FAST,190.180997
2,1,FAST,149.638843
2,1,FAST,131.240755
2,1,FAST,104.286375
2,1,FAST,128.943690
2,1,FAST,171.453431
2,1,FAST,91.158921
2,1,FAST,141.618970
2,1,FAST,123.579829
2,1,FAST,133.396315
2,1,FAST,110.049041
2,1,FAST,123.840770
2,1,FAST,134.257475
2,1,FAST,84.053275
2,1,FAST,168.523026
2,1,FAST,111.595775
2,1,FAST,95.028754
2,1,FAST,83.499486
2,1,FAST,168.387791
2,1,FAST,94.890296
2,1,FAST,170.813179
2,1,FAST,152.244047
2,1,FAST,125.765013
2,1,FAST,150.857571
2,1,FAST,83.588655
2,1,FAST,113.380070
2,1,FAST,85.803598
2,1,FAST,127.053520
2,1,FAST,179.945531
2,1,FAST,97.153552
2,1,FAST,100.834313
2,1,FAST,183.533910
2,1,FAST,141.898617
2,1,FAST,83.889634
2,1,FAST,170.537816
2,1,FAST,108.390062
2,1,FAST,131.546780
2,1,FAST,124.764130
2,1,FAST,157.436975
2,1,FAST,83.904482
2,1,FAST,125.018720
2,1,FAST,156.606518
2,1,FAST,101.614063
2,1,FAST,92.712678
2,1,FAST,149.860903
2,1,FAST,117.908917
2,1,FAST,175.247356
2,1,FAST,111.765813
2,1,FAST,83.712074
2,1,FAST,126.950857
2,1,FAST,104.797402
2,1,FAST,114.697709
2,1,FAST,156.929928
2,1,FAST,111.360155
2,1,FAST,161.674353
2,1,FAST,102.769176
2,1,FAST,186.926786
2,1,FAST,137.826228
2,1,FAST,131.245536
2,1,FAST,156.050474
2,1,FAST,83.952347
2,1,FAST,179.905100
2,1,FAST,91.605627
2,1,FAST,129.127274
2,1,FAST,191.947770
2,1,FAST,158.716679
2,1,FAST,101.083272
2,1,FAST,169.181706
2,1,FAST,149.930602
2,1,FAST,188.038365
2,1,FAST,129.033638
2,1,FAST,215.181757
2,1,FAST,83.754161
2,1,FAST,143.789515
2,1,FAST,158.200186
2,1,FAST,99.637957
2,1,FAST,140.363905
2,1,FAST,83.038595
2,1,FAST,169.626949
2,1,FAST,181.895188
2,1,FAST,95.905859
2,1,FAST,122.944685
2,1,FAST,185.728960
2,1,FAST,127.931838
2,1,FAST,149.713795
2,1,FAST,130.206755
2,1,FAST,83.501797
2,1,FAST,179.881594
2,1,FAST,186.022446
2,1,FAST,168.605042
2,1,FAST,108.032723
2,1,FAST,122.204833
2,1,FAST,146.735745
2,1,FAST,83.960996
2,1,FAST,169.140605
2,1,FAST,183.934851
2,1,FAST,148.391451
2,1,FAST,197.119561
2,1,FAST,127.203955
2,1,FAST,102.516003
2,1,FAST,192.926167
2,1,FAST,146.444363
2,1,FAST,170.354053
2,1,FAST,102.081604
