write_sz,ok,commit_mode,commit_ms,ds_durable_ms
2,1,SLOW_2PC,165.828262,911.352600
2,1,SLOW_2PC,165.789367,969.750780
2,1,SLOW_2PC,165.883024,974.948155
2,1,SLOW_2PC,165.886619,876.154104
2,1,SLOW_2PC,165.586287,952.373033
2,1,SLOW_2PC,165.666765,903.788973
2,1,SLOW_2PC,165.705597,1016.848344
2,1,SLOW_2PC,166.177186,891.145771
2,1,SLOW_2PC,165.767531,821.881937
2,1,SLOW_2PC,165.796799,966.362072
2,1,SLOW_2PC,165.378254,1001.455973
2,1,SLOW_2PC,166.334447,948.899938
2,1,SLOW_2PC,165.682958,778.878854
2,1,SLOW_2PC,165.946452,885.062053
2,1,SLOW_2PC,166.351734,983.320148
2,1,SLOW_2PC,165.957320,884.237424
2,1,SLOW_2PC,166.071646,882.689808
2,1,SLOW_2PC,166.283501,990.120585
2,1,SLOW_2PC,165.520337,938.525162
2,1,SLOW_2PC,165.614166,1016.558717
2,1,SLOW_2PC,165.351010,1045.816562
2,1,SLOW_2PC,165.625072,979.540107
2,1,SLOW_2PC,165.874957,1025.469391
2,1,SLOW_2PC,166.245134,988.304657
2,1,SLOW_2PC,165.790816,915.283423
2,1,SLOW_2PC,165.338507,898.105519
2,1,SLOW_2PC,165.633524,890.026369
2,1,SLOW_2PC,165.725662,1027.459876
2,1,SLOW_2PC,165.850287,964.615704
2,1,SLOW_2PC,165.797760,833.467793
2,1,SLOW_2PC,166.177755,909.001192
2,1,SLOW_2PC,165.720000,951.241309
2,1,SLOW_2PC,165.614314,1047.592533
2,1,SLOW_2PC,165.294466,936.976912
2,1,SLOW_2PC,165.998194,977.628165
2,1,SLOW_2PC,166.303937,975.483888
2,1,SLOW_2PC,165.646436,931.898440
2,1,SLOW_2PC,165.997452,977.597518
2,1,SLOW_2PC,166.002647,952.868334
2,1,SLOW_2PC,165.651926,899.818818
2,1,SLOW_2PC,166.033612,945.194027
2,1,SLOW_2PC,165.837004,997.477122
2,1,SLOW_2PC,165.618566,833.491724
2,1,SLOW_2PC,165.583190,987.828924
2,1,SLOW_2PC,165.494745,899.395696
2,1,SLOW_2PC,165.848530,1022.921877
2,1,SLOW_2PC,166.179411,918.992319
2,1,SLOW_2PC,165.919320,891.559124
2,1,SLOW_2PC,165.870022,878.295979
2,1,SLOW_2PC,166.202460,957.448247
2,1,SLOW_2PC,165.845584,1004.650194
2,1,SLOW_2PC,166.047731,1030.584388
2,1,SLOW_2PC,165.656396,1045.492133
2,1,SLOW_2PC,165.770670,972.105992
2,1,SLOW_2PC,165.663331,936.887171
2,1,SLOW_2PC,165.450195,1022.895922
2,1,SLOW_2PC,165.718489,884.473411
2,1,SLOW_2PC,166.272725,970.814319
2,1,SLOW_2PC,165.496600,936.112099
2,1,SLOW_2PC,165.623027,991.373122
2,1,SLOW_2PC,165.860263,920.966524
2,1,SLOW_2PC,166.258977,844.306515
2,1,SLOW_2PC,166.000613,989.299372
2,1,SLOW_2PC,165.773203,1038.770647
2,1,SLOW_2PC,166.200639,960.787967
2,1,SLOW_2PC,165.788138,917.491439
2,1,SLOW_2PC,165.645876,1003.797391
2,1,SLOW_2PC,165.745830,918.360179
2,1,SLOW_2PC,165.951553,1034.420932
2,1,SLOW_2PC,166.237997,997.766929
2,1,SLOW_2PC,165.834942,944.727740
2,1,SLOW_2PC,165.718363,964.434213
2,1,SLOW_2PC,165.280672,870.477451
2,1,SLOW_2PC,165.906626,981.689278
2,1,SLOW_2PC,165.928438,896.409202
2,1,SLOW_2PC,165.825222,738.863370
2,1,SLOW_2PC,166.111615,951.115173
2,1,SLOW_2PC,166.251290,904.958392
2,1,SLOW_2PC,166.464845,976.458349
2,1,SLOW_2PC,166.354955,947.701195
2,1,SLOW_2PC,166.704074,960.969022
2,1,SLOW_2PC,165.651399,874.236312
2,1,SLOW_2PC,166.102093,814.712444
2,1,SLOW_2PC,165.909156,995.671233
2,0,SLOW_2PC,82.943506,inf
2,1,SLOW_2PC,165.585993,921.959707
2,1,SLOW_2PC,165.681898,818.694038
2,1,SLOW_2PC,165.477475,869.502884
2,1,SLOW_2PC,165.690192,946.420644
2,1,SLOW_2PC,165.575263,1012.590234
2,1,SLOW_2PC,165.705823,996.437664
2,1,SLOW_2PC,165.722086,940.806940
2,1,SLOW_2PC,166.358497,941.619996
2,1,SLOW_2PC,166.290564,885.291524
2,1,SLOW_2PC,165.849441,999.727378
2,1,SLOW_2PC,165.843498,819.920749
